iter	RMSE
0	3904801.272
1	3776603.39
2	3662293.958
3	3560278.469
4	3453988.087
5	3340013.532
6	3245033.51
7	3157512.484
8	3069660.124
9	2994993.616
10	2911736.027
11	2829116.316
12	2757715.116
13	2678628.701
14	2608329.657
15	2541281.862
16	2468233.81
17	2411761.327
18	2346933.411
19	2293723.905
20	2224328.693
21	2171778.547
22	2133048.571
23	2088210.11
24	2040441.54
25	1990601.382
26	1936004.285
27	1887079.25
28	1843832.034
29	1806074.316
30	1770118.81
31	1726278.446
32	1689501.602
33	1651516.169
34	1621455.689
35	1592474.43
36	1553520.508
37	1521205.72
38	1491059.317
39	1459991.826
40	1440839.748
41	1412276.154
42	1381921.693
43	1358380.596
44	1328458.86
45	1303199.344
46	1281224.837
47	1255260.545
48	1233822.134
49	1211837.754
50	1196726.972
51	1170892.419
52	1151366.598
53	1129488.022
54	1111382.287
55	1092176.05
56	1079336.985
57	1062050.591
58	1039893.835
59	1018071.416
60	1000452.249
61	988478.7186
62	970326.1992
63	954933.5131
64	942229.6998
65	924678.7705
66	913002.2771
67	900687.6356
68	889265.6617
69	878229.158
70	863578.6362
71	847452.0211
72	838515.6524
73	824778.5752
74	810881.3148
75	800366.8067
76	790293.2967
77	772261.8216
78	761335.0773
79	747482.3728
80	739266.5795
81	730156.0893
82	718535.834
83	708060.0523
84	699353.088
85	689430.8128
86	683277.1836
87	674081.3567
88	666395.5643
89	656826.2742
90	649551.7016
91	642440.0998
92	635351.8148
93	627069.017
94	619704.0461
95	613189.0403
96	603707.3911
97	596181.9005
98	590818.0649
99	583200.586
100	577312.0497
101	569334.1094
102	562535.2732
103	556459.3097
104	548653.1547
105	543120.0117
106	539221.6714
107	533717.827
108	527984.7514
109	522355.9619
110	518397.5182
111	513027.8125
112	507707.9142
113	504000.9652
114	497264.357
115	490629.2033
116	486043.8409
117	481945.8012
118	475970.0824
119	470973.5959
120	466040.8552
121	461785.2082
122	456800.1641
123	451923.9763
124	448805.7588
125	442375.1671
126	437948.5904
127	433834.4949
128	430166.1222
129	426849.0313
130	423406.701
131	419147.6668
132	415155.6272
133	410785.549
134	407411.5371
135	404026.6918
136	401104.2292
137	398517.3711
138	395222.2796
139	391500.3996
140	386191.5535
141	383039.5355
142	378999.2666
143	375522.6847
144	372695.1069
145	369430.6528
146	367168.6664
147	364742.8465
148	361073.2582
149	357927.5762
150	355837.3611
151	352932.9685
152	350388.229
153	346763.1906
154	344771.022
155	341832.0478
156	339717.358
157	336138.0663
158	333217.1913
159	329856.2623
160	326889.6637
161	323909.8162
162	321116.5555
163	319974.5569
164	317207.2602
165	314650.195
166	312051.4209
167	310088.3239
168	308538.4326
169	307653.9352
170	305582.4621
171	304533.6275
172	301965.0413
173	299865.4352
174	299036.7186
175	298231.0882
176	297443.0356
177	295210.0854
178	293023.9134
179	291345.5341
180	290591.299
181	289681.2002
182	286509.2236
183	285800.5919
184	282741.7405
185	281320.0956
186	279945.222
187	278615.6599
188	277329.991
189	274384.9604
190	271539.4428
191	268477.6958
192	267838.1636
193	264906.3363
194	261971.6834
195	259292.112
196	256537.8795
197	255793.4051
198	253228.1084
199	251552.398
200	249080.1836
201	247641.7028
202	247227.0165
203	246822.148
204	244407.551
205	243731.4208
206	242198.3621
207	240089.4309
208	238810.2961
209	236556.0457
210	234251.4946
211	233682.6307
212	231522.0141
213	230120.3102
214	229802.9629
215	227727.7444
216	226392.3525
217	225218.1941
218	224152.676
219	223013.3849
220	221381.9764
221	219449.5307
222	218973.0842
223	217758.2494
224	215884.2209
225	215599.7688
226	213778.9544
227	212624.2155
228	210856.7326
229	210414.579
230	208998.6253
231	208683.5395
232	207540.2408
233	206475.7204
234	205361.7569
235	204950.1421
236	203863.9501
237	201308.7069
238	200609.2163
239	200316.1378
240	199274.8639
241	197611.4944
242	195865.2277
243	194875.7288
244	193481.8841
245	191917.9078
246	191501.3458
247	190548.4073
248	190171.0804
249	189240.8053
250	187557.344
251	186665.8539
252	185405.0893
253	184772.4275
254	183333.1731
255	182716.7995
256	181498.6979
257	181153.4841
258	180818.9111
259	179444.0392
260	178269.6905
261	177090.41
262	176770.173
263	175045.0961
264	173986.8566
265	172853.4662
266	172710.6763
267	171605.6022
268	171364.228
269	170394.2707
270	169640.8035
271	169502.2505
272	168549.8121
273	168413.7708
274	167371.077
275	166632.3845
276	166400.5068
277	165401.982
278	164481.5049
279	164145.1058
280	163244.052
281	162363.8512
282	161804.4286
283	160807.1878
284	159837.5683
285	159714.4566
286	158998.1689
287	158877.4108
288	158033.9601
289	157099.9836
290	156167.9654
291	156051.51
292	155355.885
293	154548.9829
294	154028.1415
295	153159.0766
296	152263.5778
297	151982.5839
298	150574.4863
299	149894.743
