iter	Passed	Remaining
0	5	1709
1	29	4438
2	42	4206
3	59	4379
4	73	4322
5	76	3750
6	88	3703
7	93	3394
8	100	3243
9	116	3371
10	123	3254
11	134	3217
12	139	3068
13	143	2930
14	149	2839
15	153	2726
16	158	2638
17	164	2573
18	169	2501
19	173	2425
20	184	2446
21	192	2427
22	199	2397
23	205	2368
24	208	2296
25	211	2229
26	212	2152
27	216	2105
28	219	2055
29	223	2007
30	225	1956
31	227	1908
32	229	1858
33	231	1813
34	234	1778
35	238	1745
36	240	1710
37	245	1694
38	248	1660
39	250	1630
40	257	1626
41	264	1624
42	266	1594
43	271	1577
44	273	1548
45	280	1548
46	289	1555
47	295	1552
48	297	1525
49	300	1501
50	302	1478
51	304	1454
52	307	1432
53	309	1411
54	311	1389
55	314	1368
56	316	1349
57	318	1328
58	320	1310
59	323	1295
60	326	1279
61	329	1263
62	331	1248
63	334	1232
64	337	1218
65	339	1203
66	341	1188
67	344	1174
68	346	1160
69	349	1147
70	352	1137
71	355	1124
72	357	1112
73	360	1100
74	362	1087
75	365	1076
76	367	1063
77	369	1050
78	371	1038
79	373	1027
80	374	1013
81	377	1003
82	379	992
83	381	981
84	384	971
85	386	961
86	388	950
87	390	940
88	392	931
89	394	921
90	396	911
91	399	902
92	401	893
93	404	885
94	406	877
95	408	868
96	416	872
97	424	875
98	428	869
99	432	865
100	434	856
101	436	848
102	438	838
103	440	830
104	442	821
105	444	814
106	447	807
107	450	800
108	452	793
109	455	786
110	458	780
111	464	779
112	466	772
113	469	765
114	471	759
115	474	752
116	476	745
117	479	739
118	481	732
119	483	725
120	485	718
121	488	712
122	490	705
123	492	699
124	495	693
125	498	688
126	500	682
127	502	675
128	504	669
129	507	663
130	509	656
131	511	650
132	513	644
133	515	638
134	517	632
135	519	626
136	521	620
137	524	615
138	526	609
139	529	605
140	531	599
141	534	594
142	538	590
143	543	588
144	549	587
145	556	587
146	559	582
147	561	576
148	564	571
149	566	566
150	569	561
151	572	557
152	574	552
153	580	550
154	585	548
155	589	544
156	593	540
157	597	536
158	601	533
159	605	530
160	609	526
161	613	522
162	616	518
163	621	515
164	634	519
165	637	514
166	641	511
167	648	509
168	652	505
169	656	501
170	661	498
171	665	495
172	668	490
173	671	486
174	675	482
175	677	477
176	680	472
177	683	468
178	686	463
179	689	459
180	692	455
181	694	450
182	696	445
183	699	440
184	701	436
185	705	432
186	707	427
187	709	422
188	712	418
189	714	413
190	719	410
191	722	406
192	724	401
193	727	397
194	729	392
195	731	388
196	733	383
197	735	378
198	739	375
199	742	371
200	746	367
201	751	364
202	755	360
203	758	357
204	762	353
205	768	350
206	772	347
207	774	342
208	777	338
209	780	334
210	782	330
211	785	326
212	788	322
213	790	317
214	792	313
215	794	309
216	796	304
217	798	300
218	801	296
219	803	292
220	808	288
221	814	286
222	821	283
223	824	279
224	829	276
225	831	272
226	837	269
227	838	264
228	841	261
229	844	257
230	848	253
231	851	249
232	857	246
233	860	242
234	862	238
235	865	234
236	870	231
237	874	227
238	878	224
239	883	220
240	885	216
241	887	212
242	890	208
243	892	204
244	894	200
245	897	196
246	899	193
247	902	189
248	904	185
249	906	181
250	908	177
251	910	173
252	912	169
253	914	165
254	916	161
255	918	157
256	920	154
257	923	150
258	925	146
259	928	142
260	930	139
261	932	135
262	934	131
263	936	127
264	939	124
265	941	120
266	942	116
267	944	112
268	946	109
269	948	105
270	951	101
271	955	98
272	957	94
273	958	90
274	960	87
275	968	84
276	974	80
277	982	77
278	986	74
279	989	70
280	992	67
281	995	63
282	997	59
283	999	56
284	1002	52
285	1003	49
286	1006	45
287	1008	42
288	1010	38
289	1013	34
290	1015	31
291	1016	27
292	1018	24
293	1020	20
294	1022	17
295	1024	13
296	1032	10
297	1036	6
298	1041	3
299	1048	0
